,Source:,/home/usb/Disks/hecate/Projects/esp32_7seg_alarm_clock_controller/esp32_7seg_alarm_clock_controller.sch,,,,
,Date:,Sun 26 Dec 2021 02:06:49 PM PST,,,,
,Tool:,Eeschema 5.1.12-1.fc33,,,,
,Component Count:,24,,,,
have?,Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
yes,BT1,CR1220,Battery:BatteryHolder_Keystone_3001_1x12mm,~,,
yes,C1,0.1uF,Capacitor_SMD:C_0402_1005Metric,~,,
yes,C2,0.1uF,Capacitor_SMD:C_0402_1005Metric,~,,
yes,C3,0.1uF,Capacitor_SMD:C_0402_1005Metric,~,,
yes,C4,CP1in 4.7uF,Capacitor_SMD:C_0805_2012Metric,~,,
yes,C5,CP1out 10uF,Capacitor_SMD:C_0805_2012Metric,~,,
yes,D1,SLED,LED_SMD:LED_0805_2012Metric,~,,
,J1,PROG,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,~,,
yes,J2,5V_IN,Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal,~,,
,J3,DISP,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Horizontal,~,,
yes,L1,LP1 4.7uH,Inductor_SMD:L_Wuerth_MAPI-3015,~,,
,Q1,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF,,
,Q2,BSS138,Package_TO_SOT_SMD:SOT-23,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF,,
yes,R1,10K,Resistor_SMD:R_0402_1005Metric,~,,
yes,R2,RSLED_60,Resistor_SMD:R_0603_1608Metric,~,,
yes,R3,10K,Resistor_SMD:R_0402_1005Metric,~,,
yes,R4,10K,Resistor_SMD:R_0402_1005Metric,~,,
yes,R5,10K,Resistor_SMD:R_0402_1005Metric,~,,
yes,R6,10K,Resistor_SMD:R_0402_1005Metric,~,,
yes,SW1,BOOT,Button_Switch_SMD:SW_SPST_TL3305A,~,,
yes,SW2,RESET_SW,Button_Switch_SMD:SW_SPST_TL3305A,~,,
yes,U1,DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/DS3231.pdf,,
yes,U2,ESP32-WROOM-32,RF_Module:ESP32-WROOM-32,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf,,
yes,U3,PAM2306AYPKE,Package_DFN_QFN:WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,https://www.diodes.com/assets/Datasheets/PAM2306.pdf,,
