Mouser #,Link,Mfr. #,Manufacturer,Description,RoHS,Lifecycle,Order Qty.,Price (USD),Ext.: (USD)
655-RT314F03,https://www.mouser.com/ProductDetail/655-RT314F03,RT314F03,TE Connectivity,General Purpose Relays SPDT 16A 3VDC PCB MINIATURE RELAY,,,1,$6.79,$6.79
833-2SK3018-TP,https://www.mouser.com/ProductDetail/833-2SK3018-TP,2SK3018-TP,Micro Commercial Components (MCC),MOSFET N-Channel MOSFET,RoHS Compliant,,2,$0.34,$0.68
595-CD4078BPWR,https://www.mouser.com/ProductDetail/595-CD4078BPWR,CD4078BPWR,Texas Instruments,Logic Gates CMOS 8-Input NOR/OR,RoHS Compliant,,1,$0.55,$0.55
595-SN74HC08D,https://www.mouser.com/ProductDetail/595-SN74HC08D,SN74HC08D,Texas Instruments,Logic Gates Quad 2-Input,RoHS Compliant,,1,$0.47,$0.47
534-3001,https://www.mouser.com/ProductDetail/534-3001,3001,Keystone Electronics,Coin Cell Battery Holders TH COIN CELL BATTERY HOLDER 12mm,RoHS Compliant,,1,$0.43,$0.43
538-67643-2910,https://www.mouser.com/ProductDetail/538-67643-2910,67643-2910,Molex,USB Connectors USB REC 4P RA SHLD TYPE A AUFL,RoHS Compliant,,1,$1.56,$1.56
512-BSS138,https://www.mouser.com/ProductDetail/512-BSS138,BSS138,ON Semiconductor,MOSFET SOT-23 N-CH LOGIC,RoHS Compliant,,2,$0.26,$0.52
771-74HC14D-T,https://www.mouser.com/ProductDetail/771-74HC14D-T,"74HC14D,653",Nexperia,Inverters HEX INVERTER SCHMITT TRIGGER,RoHS Compliant,,1,$0.46,$0.46
700-DS3231M+,https://www.mouser.com/ProductDetail/700-DS3231M+,DS3231M+,Maxim Integrated,"Real Time Clock +/-5ppm, I C Real-Time Clock",RoHS Compliant,,1,$7.75,$7.75
595-SN74HC165PWR,https://www.mouser.com/ProductDetail/595-SN74HC165PWR,SN74HC165PWR,Texas Instruments,Counter Shift Registers 8-Bit Parallel-Load,RoHS Compliant,,1,$0.47,$0.47
485-4079,https://www.mouser.com/ProductDetail/485-4079,4079,Adafruit,Adafruit Accessories 2x20 Socket Riser Header for Raspberry Pi HATs and Bonnets,,New Product,1,$1.95,$1.95
603-RC0402FR-7W10KL,https://www.mouser.com/ProductDetail/603-RC0402FR-7W10KL,RC0402FR-7W10KL,Yageo,Thick Film Resistors - SMD 10K ohm 1% 50V General Purpose,RoHS Compliant By Exemption,,20,$0.02,$0.36
81-GRM155C71H104JE9D,https://www.mouser.com/ProductDetail/81-GRM155C71H104JE9D,GRM155C71H104JE19D,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT ,RoHS Compliant,,12,$0.08,$0.91
